ID,착과량(int)
TEST_0000,234.89172698974608
TEST_0001,748.3322692871094
TEST_0002,158.9344392903646
TEST_0003,449.8987164306641
TEST_0004,715.9074890136719
TEST_0005,265.5631408691406
TEST_0006,82.69663177490234
TEST_0007,46.18172714233398
TEST_0008,347.60860412597657
TEST_0009,220.49820709228516
TEST_0010,558.4405249023437
TEST_0011,745.2265356445312
TEST_0012,452.69574462890625
TEST_0013,374.453359375
TEST_0014,45.53486923217773
TEST_0015,126.71077484130859
TEST_0016,459.79973571777344
TEST_0017,442.72595764160155
TEST_0018,245.73701019287108
TEST_0019,564.1683276367187
TEST_0020,260.1235656738281
TEST_0021,357.53221923828124
TEST_0022,455.57846496582033
TEST_0023,235.19527130126954
TEST_0024,144.93891876220704
TEST_0025,651.0997302246094
TEST_0026,178.02853912353515
TEST_0027,756.2749426269531
TEST_0028,613.2456970214844
TEST_0029,445.05958679199216
TEST_0030,38.106356887817384
TEST_0031,569.566162109375
TEST_0032,649.7410205078124
TEST_0033,529.881474609375
TEST_0034,542.1213061523438
TEST_0035,338.42158203125
TEST_0036,236.7284634399414
TEST_0037,643.6487939453125
TEST_0038,16.73454315185547
TEST_0039,438.4071661376953
TEST_0040,365.3425830078125
TEST_0041,141.68354858398436
TEST_0042,727.7255200195312
TEST_0043,69.99545684814453
TEST_0044,596.9527026367188
TEST_0045,334.4309228515625
TEST_0046,746.4076684570313
TEST_0047,485.9639617919922
TEST_0048,340.5037854003906
TEST_0049,447.27378051757813
TEST_0050,553.2245568847657
TEST_0051,650.6397570800782
TEST_0052,411.1294873046875
TEST_0053,461.68425903320315
TEST_0054,356.5409393310547
TEST_0055,160.34241333007813
TEST_0056,736.6800146484375
TEST_0057,530.11041015625
TEST_0058,559.9771618652344
TEST_0059,535.1097473144531
TEST_0060,452.1710284423828
TEST_0061,37.46667144775391
TEST_0062,546.9831030273438
TEST_0063,347.0592584228516
TEST_0064,514.1806091308594
TEST_0065,333.3755810546875
TEST_0066,450.1105041503906
TEST_0067,456.14171447753904
TEST_0068,151.64619415283204
TEST_0069,664.639638671875
TEST_0070,738.6521020507812
TEST_0071,731.4601904296875
TEST_0072,646.6246228027344
TEST_0073,243.52431243896484
TEST_0074,136.33679718017578
TEST_0075,251.5539987182617
TEST_0076,133.22713745117187
TEST_0077,639.1834326171875
TEST_0078,731.6930773925781
TEST_0079,331.530947265625
TEST_0080,254.82724670410158
TEST_0081,49.50949523925782
TEST_0082,43.34129310607911
TEST_0083,654.6314013671874
TEST_0084,646.1914416503906
TEST_0085,492.4718963623047
TEST_0086,250.97471313476564
TEST_0087,347.2055407714844
TEST_0088,64.8825180053711
TEST_0089,136.86710723876953
TEST_0090,69.40735580444337
TEST_0091,389.93603332519535
TEST_0092,542.7497521972657
TEST_0093,526.956485595703
TEST_0094,555.4536560058593
TEST_0095,355.7207452392578
TEST_0096,244.5669287109375
TEST_0097,246.9293426513672
TEST_0098,210.56397644042968
TEST_0099,637.1616577148437
TEST_0100,699.0613476562501
TEST_0101,259.4810296630859
TEST_0102,422.79205200195315
TEST_0103,543.8760986328125
TEST_0104,238.266513671875
TEST_0105,754.9668664550782
TEST_0106,134.16632659912108
TEST_0107,58.681347427368166
TEST_0108,445.37589477539063
TEST_0109,242.26946044921874
TEST_0110,661.6788647460937
TEST_0111,341.37090270996094
TEST_0112,596.7942041015625
TEST_0113,450.8979296875
TEST_0114,697.0920104980469
TEST_0115,160.83201599121094
TEST_0116,658.1078234863281
TEST_0117,653.2569018554688
TEST_0118,338.9518957519531
TEST_0119,480.982763671875
